"speech_text","label","Nummer","speaker_name","speaker_party","Delegitimeren","Opmerking","Gericht op?","date","vergadernummer","id","title","jaar","populisme","kabinet_parlement"
"We waren het eens tot de laatste minuut. We zijn het er namelijk over eens dat als de Koran — het kan ook de Bijbel zijn, maar in dit geval gaat het over de Koran — wordt misbruikt om onverdraagzaamheid of antidemocratische boodschappen bij kinderen naar binnen te pompen door het soort verschrikkelijke meerkeuzenvragen voor te leggen zoals de heer Wilders die gisteren heeft geciteerd en die ook in de reportages naar voren komen waardoor ze met de rug naar de samenleving komen te staan, het niet anders kan dan dat wij collectief — Staat, parlement, regering — alle maatregelen nemen die mogelijk zijn om dat te voorkomen. Dat is ingewikkeld, maar dat moeten we doen en dat zijn we aan het doen.
Tweede vraag is of het feit dat iemand die moslim is en die op grond van artikel 23 een school wil stichten, op zichzelf reden is om dat tegen te gaan. Want dat heeft ook te maken met de maatschappelijke opvatting over geloof, in dit geval de islam, en of je het als geloof ziet of als politiek systeem. Dat was ook de kern van het debat dat Geert Wilders, Maxime Verhagen en ik gevoerd hebben in 2010, nog helemaal in de pre-, pre-, preformatie van het eerste kabinet waarin de PVV gedoogsteun gaf. Toen hebben we geluisterd naar Geert Wilders, die zei: pas op, jongens, de islam a, b en c: gevaar. Wij zeiden: we respecteren je opvatting, maar we verschillen hierover fundamenteel van mening. We zijn toen met een verklaring naar buiten gekomen van Maxime Verhagen en mij aan de ene kant en Geert Wilders aan de andere kant over de plek van de islam in de samenleving. Daar zit dus een verschil van opvatting. Maar er is totaal geen verschil van opvatting en we staan schouder aan schouder als het gaat over het gebruiken van het geloof voor onverdraagzaamheid, antidemocratische boodschappen of voor alles wat ook maar enigszins ingaat tegen onze democratische rechtsstaat.","2",1,"Minister Rutte",NA,"2",NA,NA,2019-09-19,"nr. 3, item 6",453929,"6 Algemene Politieke Beschouwingen","2019-2020",NA,"kabinet"
"De spanning loopt op. Ik wil graag van de premier horen wat het kabinet nou precies wil gaan doen. Want er zijn in de Troonrede en de Miljoenennota wel maatregelen aangekondigd waar het kabinet op terug gaat komen, maar wat het precies is weet ik niet. Wie gaat de leiding nemen over dit zelfonderzoek? Gaat de premier dat zelf doen of gaat een bewindspersoon dit doen? Dit is groot genoeg voor een helikopterblik en een overkoepelende regie. Ik zou het kabinet een suggestie mee willen geven, namelijk om ook iets te doen aan de managementcultuur die bij de rijksoverheid is ontstaan. Ooit is het met recht ingesteld, maar ik denk dat de omloopsnelheid bij de ABD te hoog is en dat managers te snel van plek naar plek gaan om elders hun kunstje weer te gaan doen. De vraag die daarbij rijst is of bijvoorbeeld de Deltawerken vandaag de dag nog gebouwd zouden kunnen worden of dat de vakinhoudelijke kennis daarvoor bij Rijkswaterstaat zou ontbreken. Ik zou ervoor pleiten om de omloopsnelheid bij de ambtenarentop te verlagen, zodat vakinhoudelijke kennis kan groeien en een stevige plek krijgt in de top van ministeries.
Ik doe nog één onderwerp en dan kom ik op de vraag van de heer Asscher. Ten slotte vind ik ook ...","2",2,"De heer Pieter Heerma","CDA","2",NA,NA,2019-09-18,"nr. 2, item 5",474982,"5 Algemene Politieke Beschouwingen","2019-2020","Niet-populistisch","parlement"
"Ik doe het niet graag, want ik vind dat de heer Kuzu er heel rare ideeën op nahoudt, maar ik wil hem verdedigen. Hier zegt een parlementariër dat een andere parlementariër geen Nederlander is, dat dit niet zijn Nederland is, dat hij het parlement onwaardig is en dat hij zijn paspoort moet inleveren. Dat is een grove schande, mijnheer Wilders. Dat zou u niet moeten doen. De heer Kuzu, hoe gek zijn ideeën ook zijn, is een Nederlander en dat blijft hij. Wij zullen hem bestrijden op al die rare dingen die hij zegt, maar feit is: hij is en blijft een Nederlander. Dat zou u moeten respecteren, zoals wij, die allemaal vinden dat u heel rare ideeën hebt, allemaal het recht verdedigen om die hier, in deze Kamer te verkondigen.","2",3,"De heer Klaver","GroenLinks","1","Betwisten van etische standaarden: Wij zullen hem bestrijden op al die rare dingen die hij zegt","politici",2016-09-21,"nr. 2, item 6",181858,"6 Algemene Politieke Beschouwingen","2016-2017","Niet-populistisch","parlement"
"In het debat destijds ging het er ook over. Het hoort ook bij een rechtsstaat dat het soms lastig is voor iedereen. Mijn fractie hecht daar ook aan: je moet voorzichtig zijn met zaken die onder de rechter zijn. Dan moet je ook wachten tot een debat afgelopen is. Maar er zouden nog allerlei debatten over volgen, ook over de vervolging in de zaak van de heer Wilders. Maar door corona is dit ook weer van de agenda verdwenen.
Maar dan nu een punt dat veel Nederlanders bezighoudt, zoals u terecht aangeeft. Ik noemde één voorbeeld, van hoever je gaat met die groepsbelediging. Hetzelfde geldt voor de oververtegenwoordiging van bepaalde etnische minderheden in de criminaliteitscijfers. Dat vind ik ook gewoon een legitieme vraag. Daar lopen veel mensen tegen aan. Dat geldt net zo goed voor de discriminatie aan de andere kant. Ik vind dat daar gewoon over gesproken moet worden. We moeten kijken of we daarin verder komen. In de periode waarin de heer Wilders in de gedoogrol zat in een van de kabinetten-Rutte, is eigenlijk juist een beetje gestopt met het beleid om specifiek criminaliteit aan te pakken in relatie tot de oververtegenwoordiging van etnische minderheden. Zou het eigenlijk niet goed zijn als dit beleid opnieuw wordt gemaakt, dat we niet alleen maar nu even in een debat er wat stevigs over zeggen, maar dat we echt kijken hoe we heel gericht die oververtegenwoordiging, of dat nou Marokkanen, Antillianen of andere groepen zijn, kunnen aanpakken?","2",4,"De heer Van der Staaij","SGP","2",NA,NA,2020-09-16,"nr. 2, item 2",494770,"2 Algemene Politieke Beschouwingen","2020-2021","Niet-populistisch","parlement"
"De taak van het Nederlandse parlement en van onze regering is om ervoor te zorgen dat er sprake is van een goede machtenscheiding en een goede machtsverdeling via checks-and-balances. Als de machten niet in evenwicht zijn, bijvoorbeeld omdat de zorgverzekeraars te veel macht hebben, moet u die macht aanpakken. Dan hoeft u die organisatie niet aan te pakken; dan moet u die macht aanpakken. Daarvoor maken wij wetgeving, zodat we dat op een gegeven moment kunnen realiseren. Dan is er helemaal geen sprake van al die rare invoeringskosten en al die onzekerheid van 25.000 mensen die bij verzekeringsmaatschappijen hun baan zouden verliezen. Dan zorgen we er gewoon voor dat er een goede zorgverzekering is en niet een heel nieuw systeem.","2",5,"De heer Klein","Klein","2",NA,NA,2016-09-21,"nr. 2, item 3",191243,"3 Algemene Politieke Beschouwingen","2016-2017","Niet-populistisch","parlement"
"Omdat het uw verantwoordelijkheid is als parlementariër om gedegen werk te leveren. Neem precies dit voorbeeld, van 2,7 miljard aan consultants en inhuur. Dat voorbeeld heb ik ook genoemd in mijn bijdrage. Daar willen we van af. Maar weet u wat het is? Als we daarvan af willen, dan zal de overheid meer ambtenaren in vaste dienst moeten nemen. Dat is de kern van al die adviezen die worden gegeven. U citeert de Ombudsman: zorg ervoor dat die kennis in huis is. Als wij gaan bezuinigen op de inhuur van consultants, dan betekent dat dat we meer ambtenaren in dienst nemen. Dat geld kunt u dus niet inzetten om dit te betalen. Precies daarom staan wij hier te interrumperen. Dit gaat namelijk om hoe wij als parlement functioneren. Wij hebben vandaag een parlement gezien dat het initiatief in handen neemt en dat niet wacht op een kabinet. Dat is het parlement dat ik graag zie en ik had ook gehoopt dat u dat zo ziet. Dan zeggen we niet: we wachten op een kabinet en de voorstellen waarmee het komt. Dan regelen we het hier zelf. Dat vraagt wel om financiële degelijkheid.","2",6,"De heer Klaver","GroenLinks","2",NA,NA,2023-09-21,"nr. 3, item 7",775379,"7 Algemene Politieke Beschouwingen","2023-2024","Niet-populistisch","parlement"
"Ten eerste vergt dat natuurlijk een militaire operatie. Dat heb ik ook eerder al gezegd. Ten tweede is er een voorbeeld waar het lukte, namelijk Noord-Irak. Ten derde is het CDA hiermee natuurlijk niet over één nacht ijs gegaan. Het heeft zich bijvoorbeeld aangesloten bij een resolutie van het Europees Parlement, die mede was ingediend door collega Van Balen, mevrouw Schaake en ik meen zelfs de vertegenwoordiger van GroenLinks. Die zeiden allemaal: desnoods veilige gebieden in Syrië. Het is dus niet zo dat ik iets nieuws verzin, ik heb me aangesloten bij eerdere oproepen uit de politiek. Ik blijf de oproep herhalen, want ik zeg u één ding: als we het probleem niet bij de bron aanpakken, blijft het vluchtelingenprobleem eeuwig bestaan.","2",7,"De heer Van Haersma Buma","CDA","2",NA,NA,2015-09-16,"nr. 2, item 7",130874,"7 Algemene Politieke Beschouwingen","2015-2016","Niet-populistisch","parlement"
"De premier komt weer terug op Oss en op Organon. Ik wil hem er toch wel op wijzen dat het eenmalig overnemen van aandelen van een bedrijf om ervoor te zorgen dat dat bedrijf in Nederland kan blijven, echt iets fundamenteel anders is dan 2 miljard of misschien wel méér belastingverlaging voor bedrijven, elk jaar opnieuw. Dat is toch totaal niet met elkaar te vergelijken? En dan was mijn vraag, maar daar geeft de premier geen antwoord op: hoever is hij bereid te gaan? Duidelijk mag zijn dat hij hier vandaag alleen staat. De steun in de samenleving brokkelt af, onder ambtenaren was al geen steun, onder economen was al geen steun en in de coalitie brokkelt de steun af. Ik hoor het ook graag van de heer Segers zelf als hij daarop terug is gekomen. Hoe dan ook, ik ben benieuwd naar het antwoord van de minister-president op die vraag.
Er is een andere maatregel verdwenen uit het regeerakkoord: werken onder het minimumloon voor arbeidsgehandicapten. Stel dat de ChristenUnie zegt: wij komen toch terug op het afschaffen van de dividendbelasting, want dat was geen goed idee. Zegt de heer Rutte hier dan toe dat hij daarmee niet de coalitie op het spel zet?","2",8,"Mevrouw Marijnissen","SP","2",NA,NA,2018-09-21,"nr. 3, item 3",353224,"3 Algemene Politieke Beschouwingen","2018-2019","Matig-populistisch","parlement"
"Van de mensen die nee hebben gestemd, hebt u niet het mandaat gekregen om opnieuw te gaan onderhandelen. Het was heel duidelijk: er moet een wet komen waarin duidelijk wordt dat wij dat verdrag niet gaan ondertekenen. Dat is een simpele opdracht, die de minister-president zo spoedig mogelijk — die uitspraak is zes maanden geleden gedaan — moet uitvoeren. Om te voorkomen dat we straks met andere vrijhandelsverdragen hetzelfde mistige spel gaan spelen, met een kabinet dat weer aangeeft dat Brussel zelfstandige bevoegdheden heeft om door te zetten, verzoek ik de minister-president om ook het CETA-verdrag met Canada niet voorlopig in werking te laten treden, alvorens het parlement daarover gesproken heeft en de kans is gegeven om daarover een referendum te houden. Daarvoor bestaat namelijk inmiddels al bijna een meerderheid.","2",9,"Mevrouw Thieme","PvdD","2",NA,NA,2016-09-22,"nr. 3, item 3",204391,"3 Algemene Politieke Beschouwingen","2016-2017","Niet-populistisch","parlement"
"De heer Roemer en ik zijn collega's. Ik heb mij te houden aan het verkiezingsprogramma van D66. De komende drieënhalf, vier jaar ga ik daar niet aan tornen. Ik ga niet, omdat mijnheer Roemer mij dat vraagt, tegen een afspraak met mijn eigen leden en daarmee mijn eigen kiezers in. Nee, want dat zou tegen mijn verkiezingsprogramma in zijn. Dus nee. Maar bij de Europese verkiezingen of bij andere verkiezingen kan men om onderwerpen wel of niet op ons stemmen. In 2019 of 2020 zijn er Europese verkiezingen en dan staan de kandidaten voor het Europees Parlement en ik weer helemaal klaar om hun zetel te verdedigen.","2",10,"De heer Pechtold","D66","2",NA,NA,2017-11-01,"nr. 16, item 6",211856,"6 Regeringsverklaring (inclusief Algemene Politieke Beschouwingen)","2017-2018","Niet-populistisch","parlement"
"Het kabinet heeft een heldere brief geschreven met daarin een duidelijke routebeschrijving. Daarin staat wat er allemaal kan, waarover er gesproken kan worden. Er zijn enorm veel mogelijkheden en het is nu inderdaad aan ons — en met ons bedoel ik het parlement, want VVD en PvdA hebben niet eens een meerderheid in de Eerste Kamer en dat is tegenwoordig een probleem — om te bezien hoe we een en ander van een breed draagvlak voorzien. Ik ga niet doen alsof het gemakkelijk is en alsof iedereen maar rustig zit af te wachten welke leuke dingen wij verzonnen hebben, om daar vervolgens een gat in te schieten. Iedereen moet de verantwoordelijkheid en de ambitie waartoe opgeroepen wordt, zelf ook waarmaken. Wij gaan dat doen, en ik ken de VVD en de PvdA eveneens als partijen die dat gaan doen. Dat verwacht ik ook van de andere kant. Dan geldt: heb je grote woorden, dan moet je ook leveren.","2",11,"De heer Zijlstra","VVD","2",NA,NA,2014-09-17,"nr. 2, item 5",14543,"5 Algemene politieke beschouwingen","2014-2015","Niet-populistisch","parlement"
